first_name,gender,is_initial
IV,unknown,False
Petri,male,False
Arpad,unknown,False
Olivier,male,False
Chang-Shing,unknown,False
Shi-Jim,unknown,False
Mei-Hui,andy,False
Shang-Rong,unknown,False
Christina,female,False
Ann,female,False
Satu,female,False
Yu,andy,False
Zahid,male,False
Abdul,male,False
Joyce,female,False
Niki,female,False
Darcy,mostly_female,False
Gaspar,male,False
Óscar,male,False
Yinan,unknown,False
Yimin,unknown,False
Marek,male,False
Nathan,male,False
Chung-Huang,unknown,False
Pei-Hua,andy,False
Hasiah,unknown,False
Azizah,unknown,False
Brahim,male,False
Mufeng,unknown,False
Sheel,unknown,False
Ik,andy,False
Amm,unknown,False
Erkki,male,False
Adam,male,False
Neil,male,False
Azad,male,False
Dana,female,False
Keith,male,False
Mathew,male,False
Choong,andy,False
Flora,female,False
Alessandro,male,False
Gustavo,male,False
Susy,female,False
Jingli,unknown,False
Ismael,male,False
Enrique,male,False
Eike,andy,False
Dieter,male,False
Hans-Jürgen,unknown,False
Heinz,male,False
Bertil,male,False
Allen,male,False
Mukkai,unknown,False
Reena,female,False
Vishal,unknown,False
Martina,female,False
Alexey,male,False
Lukash,unknown,False
Ikvir,unknown,False
Ovidiu,male,False
Voicu,male,False
Diana,female,False
Tatsiana,female,False
Axel,male,False
Sharon,female,False
Nam,andy,False
Bogdan,male,False
Michaelangelo,unknown,False
Oliver,male,False
Orit,female,False
Yael,female,False
Anna,female,False
Gonzalo,male,False
Amer,male,False
Todd,male,False
Malohat,unknown,False
Sonia,female,False
Beatriz,female,False
Shawn,mostly_male,False
Noah,male,False
Henryk,male,False
Lindsay,mostly_female,False
Ginnie,unknown,False
Andrzej,male,False
Erol,male,False
Isi,unknown,False
Rainer,male,False
Yang,andy,False
Wang,andy,False
Blayne,mostly_male,False
Melanie,female,False
Gaye,female,False
Marlon,male,False
Jean,male,False
Riccardo,male,False
Hasan,male,False
Patricia,female,False
Chukwunonso,unknown,False
Takeo,male,False
Vishwani,unknown,False
Mojgan,female,False
Kamariah,unknown,False
Wong,andy,False
Marjan,male,False
Foo,unknown,False
Bahaman,unknown,False
Brandon,male,False
Tejas,unknown,False
Abhishek,unknown,False
Dhaneswar,unknown,False
Prosun,unknown,False
Sapna,female,False
Rutuparna,unknown,False
Pushpraj,unknown,False
Emma,female,False
Viggo,male,False
Bonnie,mostly_female,False
Ken,male,False
Cristina,female,False
Carlo,male,False
Wu,andy,False
Ioan,male,False
Olivia,female,False
Constanza,female,False
Susan,female,False
Claude,mostly_male,False
Soraya,female,False
Hiromasa,male,False
Masatoshi,male,False
Minkyu,unknown,False
Sung,andy,False
Ton,male,False
Daniela,female,False
Hu,andy,False
Sotirios,male,False
Quentin,male,False
Tangming,unknown,False
Tianhua,unknown,False
Torkil,male,False
Nina,female,False
Cristian,male,False
Bernhard,male,False
Henrik,male,False
Ryszard,male,False
Tamer,male,False
Jiebo,unknown,False
Dhiraj,unknown,False
Iñigo,unknown,False
Ali,male,False
Serkan,male,False
Helgi,male,False
Jackson,male,False
Erle,unknown,False
Valerie,female,False
Rohan,male,False
Devavrat,unknown,False
Tauhid,unknown,False
Nitesh,unknown,False
Venkataramasubramanian,unknown,False
Akshaya,unknown,False
Anurag,unknown,False
Pulkit,unknown,False
Norbert,male,False
Sergio,male,False
Tong,andy,False
Vladimir,male,False
Bian,andy,False
Maryam,female,False
Qu,andy,False
Feng,andy,False
Lu,andy,False
Lynn,mostly_female,False
Anubha,unknown,False
Shweta,female,False
Zairina,unknown,False
Suhaila,unknown,False
Walter,male,False
Albrecht,male,False
Anind,unknown,False
Katie,female,False
Aidan,male,False
Dave,male,False
Ronnie,mostly_male,False
Heather,female,False
Nikhil,male,False
Ajinkya,unknown,False
Sumant,unknown,False
Sufyan,male,False
Julita,female,False
Bayram,male,False
Cenk,male,False
Srikumar,unknown,False
Jean-Philippe,unknown,False
Simone,female,False
Anastasios,male,False
Kathryn,female,False
Teale,unknown,False
Aleksandra,female,False
Lorenz,male,False
Friedrich,male,False
Marc,male,False
Yvonne,female,False
Aryati,unknown,False
Qin,andy,False
Qiang,andy,False
Kanliang,unknown,False
Johannes,male,False
Miao,andy,False
Raúl,male,False
Linda,female,False
Eloy,male,False
Pavel,male,False
Mikkel,male,False
Torben,male,False
Monika,female,False
Adele,female,False
Indrajit,unknown,False
