author_id,gender
35671769,female
1739446,female
1716985,female
2346857,female
2928295,female
2749676,female
3217082,female
28280741,female
14033994,female
1881252,female
34349761,female
143949517,female
41156030,female
144053687,female
3439398,female
3170113,female
1759795,female
69981073,female
1881252,female
47759867,female
1693590,female
2147225,female
143632653,female
1702365,female
1412563134,female
145850321,female
144360417,female
2054615,female
1748538,female
1991315,female
2890150,female
1401334556,female
38449161,female
1967562,female
1735099,female
2773796,female
2017654,female
1820926,female
50066637,female
3300361,female
2060730,female
47646492,female
143868740,female
3276567,female
2292813,female
3001424,female
40240865,female
116172873,female
2643945,female
144204231,female
1733571,female
153671075,female
3310969,female
3113574,female
2089719,female
1749158,female
2604229,female
144256400,female
3149076,female
153658757,female
153837429,female
11171726,female
39649202,female
73739039,female
144293240,female
38776892,female
1708398,female
1879095,female
1718316,female
2807460,female
2986886,female
50856912,female
1752576,female
39807500,female
2067253,female
143985620,female
1962578,female
9432480,female
1694591,female
2307159,female
2094188,female
3001424,female
1389981132,female
35004439,female
1399108874,female
2426779,female
2038010,female
1758858,female
3027267,female
40633718,female
1949091,female
1795886,female
1735571,female
3265677,female
3087274,female
2797063,female
3121666,female
2321708,female
144596434,female
1389656608,female
1399158789,female
72558235,female
1713751,female
38000101,female
37792502,female
144065561,female
1753498,female
2221418,female
2952692,female
1722064,female
1695320,female
19140375,female
35959897,female
1699751,female
2302020,female
2638781,female
143683208,female
1749071,female
1745507,female
1751143,female
2679550,female
145268980,female
1718656,female
4301541,female
39960184,female
2875686,female
2302020,female
2883800,female
48395540,female
32350828,female
1401832226,female
1722064,female
33559727,female
1944388,female
1729374,female
2445968,female
49547346,female
1748878,female
3219349,female
2814242,female
2393913,female
32842301,female
145717702,female
40204750,female
40090963,female
32610264,female
2843881,female
2231972,female
1933403,female
2563182,female
1794409,female
35178640,female
47460845,female
1683776,female
144871756,female
66179696,female
2453026,female
49824784,female
1702974,female
1730104,female
2474030,female
2415494,female
1706884,female
50220561,female
49598186,female
69343681,female
34299738,female
1777350,female
145620991,female
1719389,female
40343220,female
33680569,female
2174117,female
1906407,female
48395540,female
1733522,female
2674440,female
144885221,female
46493239,female
145368345,female
2125732,female
1697366,female
1804994,female
50564132,female
46469670,female
69343681,female
2151886,female
1859663,female
33391119,female
32747279,female
144438652,female
2765901,female
1732871,female
1764321,female
1695807,female
2829030,female
2366298,female
2491371,female
34750860,female
1688880,female
2322366,female
1808588,female
1730104,female
1401169384,female
1743194,female
1975411,female
46979257,female
1716369,female
5048318,female
1754991,female
144645893,female
144368601,female
2652974,female
144729179,female
3458340,female
1988322,female
1752599,female
2364564,female
1726246,female
145078811,female
144066998,female
1726246,female
1699786,female
144260175,female
40448872,female
35964168,female
1764975,female
1770537,female
143859272,female
1763896,female
69044839,female
1891470,female
11137066,female
1771108,female
37176218,female
1699751,female
2153304,female
2842650,female
1702744,female
48913682,female
1398832206,female
3164630,female
144337513,female
144740161,female
30080277,female
1726246,female
2478475,female
144872567,female
1781565,female
3207705,female
1909157,female
36026519,female
144083401,female
144987760,female
2366701,female
2161398,female
1724356,female
1404338309,female
1957919,female
144216127,female
144337513,female
2992435,female
1764576,female
36518152,female
1740273,female
1725195,female
1742361,female
1720373,female
48543181,female
144083401,female
145028413,female
1944467,female
3288964,female
2573426,female
2826277,female
144223103,female
145446632,female
3044329,female
1861915,female
2680818,female
2259954,female
1748631,female
3198238,female
2945241,female
49646527,female
1403847599,female
2070517,female
143722231,female
47169980,female
145017829,female
66387505,female
31205387,female
2689520,female
3321001,female
1738429,female
1809749,female
2416282,female
143929556,female
145695386,female
1703892,female
1728701,female
1697808,female
1978039,female
2565713,female
2166111,female
1767467,female
2070517,female
3231264,female
2753012,female
38035270,female
2070517,female
143742312,female
3321001,female
2298633,female
49724730,female
3100832,female
1751886,female
1804855,female
1403360622,female
1757926,female
2088723,female
144833969,female
144221985,female
2153304,female
1740872,female
1397958221,female
33799785,female
145944405,female
34808484,female
2012491,female
9709946,female
1738774,female
2366624,female
34662389,female
1786275,female
65727774,female
70298986,female
1730356,female
144963510,female
31443785,female
2153304,female
145980903,female
145709776,female
145918049,female
1404630607,female
144614913,female
1722064,female
1729969,female
1816006,female
2909907,female
145850420,female
144225173,female
35964168,female
2262404,female
145071454,female
1718134,female
2333241,female
3012858,female
145905839,female
2558865,female
49738107,female
1743774,female
144138638,female
1790567,female
1957919,female
2004672,female
1808829,female
1679913,female
1398550766,female
1767467,female
143989206,female
2837109,female
36652237,female
1748503,female
34986363,female
145912604,female
33397915,female
2785804,female
1724284,female
1689620,female
145562686,female
145945543,female
1686405,female
1700503,female
1688764,female
1399063930,female
3069430,female
2012491,female
3286001,female
1679479,female
2724501,female
143745698,female
2994505,female
1778867,female
92813518,female
145783306,female
48290598,female
2711823,female
1898632,female
69944069,female
145828619,female
1403781894,female
35134927,female
2166004,female
1873585,female
2373478,female
1685816,female
33171832,female
2104611,female
145930086,female
35079113,female
1946561,female
145968635,female
145662410,female
1736733,female
2247570,female
143708122,female
10244253,female
1730685,female
47955620,female
2637201,female
1775784,female
1709177,female
2445846,female
32297900,female
144563082,female
2121530,female
3176797,female
40241218,female
144909129,female
2471854,female
34676918,female
7623427,female
1932460,female
12712924,female
9125015,female
1707112,female
1740787,female
1706933,female
46910884,female
41015870,female
20139538,female
70160944,female
2246592,female
73611018,female
33985715,female
9241902,female
145700052,female
1707373,female
1788824,female
144150258,female
134722956,female
66252965,female
1877467,female
34311259,female
120979184,female
1724284,female
2946521,female
2256600,female
143664236,female
144146026,female
2795779,female
2411054,female
3246354,female
40216308,female
31395950,female
2146051,female
2782234,female
1759432,female
2187911,female
1399063930,female
1707184,female
70010990,female
34966245,female
1724284,female
40489129,female
1403116411,female
1757814,female
2228381,female
1762460,female
34869420,female
69053465,female
2305972,female
3163258,female
46207243,female
2493379,female
1912163,female
9110515,female
2593356,female
1400880368,female
49019817,female
2413171,female
1717264,female
1874738,female
49576218,female
